"regions","indicators","banks","currency-type","monthly-income","insurance-companies","type-of-insurance","economic-activity","countries","foreign-currency","assets","liabilities","Unit","Date","Value"
"Oman","Banks Operating in the Sultanate","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014Q1","1"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2012","479"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2013","493"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014","467"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2015","508"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2016","511"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2017","481"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2018","535"
"Oman","Banks Operating in the Sultanate","Commerical Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2019","559"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2012","445"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2013","458"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014","430"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2015","427"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2016","430"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2017","402"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2018","402"
"Oman","Banks Operating in the Sultanate","Local Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2019","420"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2012","34"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2013","35"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014","37"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2015","38"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2016","40"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2017","34"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2018","34"
"Oman","Banks Operating in the Sultanate","Foreign Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2019","31"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2012","22"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2013","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2015","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2016","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2017","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2018","23"
"Oman","Banks Operating in the Sultanate","Specialised Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2019","26"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2012","3"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2013","8"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2014","14"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2015","17"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2016","18"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2017","22"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2018","76"
"Oman","Banks Operating in the Sultanate","Islamic Banks","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","Number","2019","82"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M1","10195200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M2","10396400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M3","10380600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M4","10434000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M5","10832300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M6","10832300000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M7","10758800000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M8","10815000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M9","10719400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M10","10902600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M11","11155500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2014M12","11186400000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M1","11325600000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M2","11380700000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M3","11634500000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M4","11541000000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M5","11722100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M6","11745100000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M7","11703200000"
"Oman","Private Sector Deposits","Total","Total Value","Total","Total","Total","Total","Total","Total","Total","Total","OMR","2015M8","11590400000"
