"region","indicator","station","networks","opwp-purchases","Unit","Date","Value"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2012","24444"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2013","25755"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2014","28467"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2015","32189"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2016","33600"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2017","35673"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2018","37216.8213301268"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2019","37513.3366141438"
"Oman","Electricity production (GW/H)","Total","Total","Total","Gw/H","2020","36992.2585574109"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2012","21619.1"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2013","22558.2"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2014","24993.1"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2015","28333.5"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2016","29548.9"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2017","31356.9"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2018","32857.8050779054"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2019","32791.3422858541"
"Oman","Electricity production (GW/H)","Total","Main Interconnected System","Total","Gw/H","2020","32400.6"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2012","555.9"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2013","635.4"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2014","698.1"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2015","807"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2016","994.6"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2017","1091.7"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2018","1215.534514"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2019","1305.34549328068"
"Oman","Electricity production (GW/H)","Total","Rural System","Total","Gw/H","2020","1434.2"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2012","2189.8"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2013","2467.8"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2014","2651.7"
"Oman","Electricity production (GW/H)","Total","Salalah Power System","Total","Gw/H","2015","2941.6"
