"regions","indicators","price-type","economic-activity-of-non-petrol","institutional-sector","Unit","Date","Value"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2010","10411.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2011","13919.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2012","15503.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2013","15235.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2014","14864.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2015","9228.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2016","7130.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2017","8483.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2018","11435"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2019","10484.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Petroleum Activities","Total","Mn.R.O","2020","7617.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2010","9550"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2011","12906.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2012","14392.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2013","14186.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2014","13862.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2015","8049.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2016","5921.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2017","7190.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2018","9820.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2019","8896.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Crude Petroleum","Total","Mn.R.O","2020","6139.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2010","861.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2011","1013.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2012","1111.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2013","1048.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2014","1002"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2015","1178.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2016","1209.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2017","1293"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2018","1614.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2019","1587.8"
"Oman","Gross Domestic Product (GDP)","Current Prices","Natural Gas","Total","Mn.R.O","2020","1478.2"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2010","15692.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2011","17755.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2012","20131.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2013","21351.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2014","22732.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2015","22532.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2016","22697.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2017","23725.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2018","24892.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2019","24745.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Total Non Petroleum Activities","Total","Mn.R.O","2020","22178.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2010","311.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2011","327.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2012","341.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2013","395"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2014","396.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2015","523.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2016","573.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2017","617"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2018","650.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2019","675.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture & Forestry & Fishing","Total","Mn.R.O","2020","729.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2010","201.7"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2011","204.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2012","199.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2013","231"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2014","233.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2015","355.9"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2016","377.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2017","402.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2018","415.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2019","433.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Agriculture","Total","Mn.R.O","2020","451.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2010","110"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2011","123.4"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2012","142"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2013","164"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2014","163.1"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2015","167.6"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2016","196.3"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2017","214.5"
"Oman","Gross Domestic Product (GDP)","Current Prices","Fishing","Total","Mn.R.O","2018","235.2"
