"regions","indicators","stations","season","Unit","Date","Value"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2010","41.1"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2011","41.6"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2012","41.6"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2013","42.5"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2014","44.2"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2015","39.2"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2016","37"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2017","38.8"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2018","38.7"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2019","35.8"
"Oman","Maximum Temperature","Total","Summer","degree celsius","2020","28.7"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2010","33"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2011","32"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2012","34.7"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2013","34.8"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2014","36.8"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2015","29.8"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2016","29.5"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2017","29.2"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2018","29.4"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2019","17.6"
"Oman","Maximum Temperature","Total","Winter","degree celsius","2020","27.5"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2010","47"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2011","49"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2012","46"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2013","44"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2014","47"
"Oman","Maximum Temperature","Muscat International Airport","Total","degree celsius","2015","47"
"Oman","Maximum Temperature","Muscat International Airport","Winter","degree celsius","2010","47"
"Oman","Maximum Temperature","Muscat International Airport","Winter","degree celsius","2011","49"
"Oman","Maximum Temperature","Muscat International Airport","Winter","degree celsius","2012","46"
"Oman","Maximum Temperature","Muscat International Airport","Winter","degree celsius","2013","44"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2010","37"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2011","36"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2012","35"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2013","39"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2014","37"
"Oman","Maximum Temperature","Salalah","Total","degree celsius","2015","41"
"Oman","Maximum Temperature","Salalah","Winter","degree celsius","2010","37"
"Oman","Maximum Temperature","Salalah","Winter","degree celsius","2011","36"
"Oman","Maximum Temperature","Salalah","Winter","degree celsius","2012","35"
"Oman","Maximum Temperature","Salalah","Winter","degree celsius","2013","39"
"Oman","Maximum Temperature","Sohar Airport","Total","degree celsius","2010","45"
"Oman","Maximum Temperature","Sohar Airport","Total","degree celsius","2012","45"
"Oman","Maximum Temperature","Sohar Airport","Total","degree celsius","2013","44"
"Oman","Maximum Temperature","Sohar Airport","Total","degree celsius","2014","46"
"Oman","Maximum Temperature","Sohar Airport","Total","degree celsius","2015","50"
"Oman","Maximum Temperature","Sohar Airport","Winter","degree celsius","2010","45"
"Oman","Maximum Temperature","Sohar Airport","Winter","degree celsius","2011","0"
"Oman","Maximum Temperature","Sohar Airport","Winter","degree celsius","2012","45"
"Oman","Maximum Temperature","Sohar Airport","Winter","degree celsius","2013","44"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2010","41"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2011","43"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2012","40"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2013","42"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2014","43"
"Oman","Maximum Temperature","Masirah","Total","degree celsius","2015","47"
"Oman","Maximum Temperature","Masirah","Winter","degree celsius","2010","41"
"Oman","Maximum Temperature","Masirah","Winter","degree celsius","2011","43"
"Oman","Maximum Temperature","Masirah","Winter","degree celsius","2012","40"
"Oman","Maximum Temperature","Masirah","Winter","degree celsius","2013","42"
"Oman","Maximum Temperature","Sur","Total","degree celsius","2010","46"
"Oman","Maximum Temperature","Sur","Total","degree celsius","2011","35"
